Stage,Date,Year,Month,Day,Distance,Origin,Destination,Type,Winner,Winner_Country
6,2011-07-07,2011,7,7,226.5,Dinan,Lisieux,Flat stage,Edvald Boasson Hagen,NOR
7,2011-07-08,2011,7,8,218.0,Le Mans,Châteauroux,Flat stage,Mark Cavendish,GBR
8,2011-07-09,2011,7,9,189.0,Aigurande,Super Besse,Medium mountain stage,Rui Costa,POR
9,2011-07-10,2011,7,10,208.0,Issoire,Saint-Flour,Medium mountain stage,Luis León Sánchez,ESP
10,2011-07-12,2011,7,12,158.0,Aurillac,Carmaux,Flat stage,André Greipel,GER
11,2011-07-13,2011,7,13,167.5,Blaye-les-Mines,Lavaur,Flat stage,Mark Cavendish,GBR
12,2011-07-14,2011,7,14,211.0,Cugnaux,Luz Ardiden,High mountain stage,Samuel Sánchez,ESP
13,2011-07-15,2011,7,15,152.5,Pau,Lourdes,High mountain stage,Thor Hushovd,NOR
14,2011-07-16,2011,7,16,168.5,Saint-Gaudens,Plateau de Beille,High mountain stage,Jelle Vanendert,BEL
15,2011-07-17,2011,7,17,192.5,Limoux,Montpellier,Flat stage,Mark Cavendish,GBR
16,2011-07-19,2011,7,19,162.5,Saint-Paul-Trois-Châteaux,Gap,Medium mountain stage,Thor Hushovd,NOR
17,2011-07-20,2011,7,20,179.0,Gap,Pinerolo,High mountain stage,Edvald Boasson Hagen,NOR
18,2011-07-21,2011,7,21,200.5,Pinerolo,Col du Galibier-Serre Chevalier,High mountain stage,Andy Schleck,LUX
19,2011-07-22,2011,7,22,109.5,Modane,Alpe d'Huez,High mountain stage,Pierre Rolland,FRA
20,2011-07-23,2011,7,23,42.5,Grenoble,Grenoble,Individual time trial,Tony Martin,GER
21,2011-07-24,2011,7,24,95.0,Créteil,Paris,Flat stage,Mark Cavendish,GBR
P,2010-07-03,2010,7,3,8.9,Rotterdam,Rotterdam,Individual time trial,Fabian Cancellara,SUI
1,2010-07-04,2010,7,4,223.5,Rotterdam,Brussels,Flat stage,Alessandro Petacchi,ITA
2,2010-07-05,2010,7,5,201.0,Brussels,Spa,Flat stage,Sylvain Chavanel,FRA
3,2010-07-06,2010,7,6,213.0,Wanze,Arenberg Porte du Hainaut,Flat cobblestone stage,Thor Hushovd,NOR
4,2010-07-07,2010,7,7,153.5,Cambrai,Reims,Flat stage,Alessandro Petacchi,ITA
5,2010-07-08,2010,7,8,187.5,Épernay,Montargis,Flat stage,Mark Cavendish,GBR
6,2010-07-09,2010,7,9,227.5,Montargis,Gueugnon,Flat stage,Mark Cavendish,GBR
7,2010-07-10,2010,7,10,165.5,Tournus,Station des Rousses,Medium mountain stage,Sylvain Chavanel,FRA
8,2010-07-11,2010,7,11,189.0,Station des Rousses,Morzine-Avoriaz,Mountain stage,Andy Schleck,LUX
9,2010-07-13,2010,7,13,204.5,Morzine-Avoriaz,Saint-Jean-de-Maurienne,Mountain stage,Sandy Casar,FRA
10,2010-07-14,2010,7,14,179.0,Chambéry,Gap,Medium mountain stage,Sérgio Paulinho,POR
11,2010-07-15,2010,7,15,184.5,Sisteron,Bourg-lès-Valence,Flat stage,Mark Cavendish,GBR
12,2010-07-16,2010,7,16,210.5,Bourg-de-Péage,Mende,Medium mountain stage,Joaquim Rodríguez,ESP
13,2010-07-17,2010,7,17,196.0,Rodez,Revel,Flat stage,Alexander Vinokourov,KAZ
14,2010-07-18,2010,7,18,184.5,Revel,Ax 3 Domaines,Mountain stage,Christophe Riblon,FRA
15,2010-07-19,2010,7,19,187.5,Pamiers,Bagnères-de-Luchon,Mountain stage,Thomas Voeckler,FRA
16,2010-07-20,2010,7,20,199.5,Bagnères-de-Luchon,Pau,Mountain stage,Pierrick Fédrigo,FRA
17,2010-07-22,2010,7,22,174.0,Pau,Col du Tourmalet,Mountain stage,Andy Schleck,LUX
18,2010-07-23,2010,7,23,198.0,Salies-de-Béarn,Bordeaux,Flat stage,Mark Cavendish,GBR
19,2010-07-24,2010,7,24,52.0,Bordeaux,Pauillac,Individual time trial,Fabian Cancellara,SUI
