,name,sex,age,height,weight,team,noc,city,sport,event,Bronze,Gold,Silver
5809,Andrey Amador Bikkazakova,M,25.0,183.0,73.0,Costa Rica,CRC,London,Cycling,"Cycling Men's Road Race, Individual",0,0,0
5811,Darisleydis Amador Rodrguez,F,24.0,,,Cuba,CUB,London,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",0,0,0
5812,Darisleydis Amador Rodrguez,F,24.0,,,Cuba,CUB,London,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",0,0,0
5821,Mohammed Aman Geleto,M,18.0,165.0,58.0,Ethiopia,ETH,London,Athletics,Athletics Men's 800 metres,0,0,0
5877,Yadinis Amars Rocha,F,28.0,162.0,57.0,Colombia,COL,London,Judo,Judo Women's Lightweight,0,0,0
5914,"Pablo ""Pol"" Amat Escud",M,34.0,183.0,78.0,Spain,ESP,London,Hockey,Hockey Men's Hockey,0,0,0
5920,Eyawomano Doreen Amata,F,24.0,191.0,63.0,Nigeria,NGR,London,Athletics,Athletics Women's High Jump,0,0,0
5943,Kim Oscar Amb,M,21.0,180.0,87.0,Sweden,SWE,London,Athletics,Athletics Men's Javelin Throw,0,0,0
5954,Eloise Michelle Amberger,F,25.0,165.0,55.0,Australia,AUS,London,Synchronized Swimming,Synchronized Swimming Women's Duet,0,0,0
5955,Eloise Michelle Amberger,F,25.0,165.0,55.0,Australia,AUS,London,Synchronized Swimming,Synchronized Swimming Women's Team,0,0,0
5963,Serge Ambomo,M,26.0,,,Cameroon,CMR,London,Boxing,Boxing Men's Light-Welterweight,0,0,0
5980,Harald Ambros,M,32.0,177.0,72.0,Austria,AUT,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",0,0,0
6057,Noor Amer Al-Ameri,F,18.0,,,Iraq,IRQ,London,Shooting,"Shooting Women's Air Pistol, 10 metres",0,0,0
6058,Nourhan Muhammad Mahmud Amer,F,19.0,160.0,55.0,Egypt,EGY,London,Shooting,"Shooting Women's Air Rifle, 10 metres",0,0,0
6063,Christine Amertil (-Ling),F,32.0,168.0,54.0,Bahamas,BAH,London,Athletics,Athletics Women's 4 x 100 metres Relay,0,0,0
6119,Al-Farouq Ajiede Aminu,M,21.0,211.0,98.0,Nigeria,NGR,London,Basketball,Basketball Men's Basketball,0,0,0
6120,"Abdul Wahab ""Alade"" Aminu",M,24.0,210.0,102.0,Nigeria,NGR,London,Basketball,Basketball Men's Basketball,0,0,0
6239,"Eduarda Idalina ""Duda"" Amorim-Taleska",F,25.0,186.0,84.0,Brazil,BRA,London,Handball,Handball Women's Handball,0,0,0
6248,Vanessa Amors Quiles,F,29.0,165.0,62.0,Spain,ESP,London,Handball,Handball Women's Handball,1,0,0
6260,Nijel Carlos Amilfitano Amos,M,18.0,179.0,60.0,Botswana,BOT,London,Athletics,Athletics Men's 800 metres,0,0,1
6287,Alberta Boatema Ampomah,F,17.0,,80.0,Ghana,GHA,London,Weightlifting,Weightlifting Women's Super-Heavyweight,0,0,0
6297,Noureddine Amrabat,M,25.0,178.0,71.0,Morocco,MAR,London,Football,Football Men's Football,0,0,0
6303,Marwa Al-Amri,F,23.0,160.0,58.0,Tunisia,TUN,London,Wrestling,"Wrestling Women's Lightweight, Freestyle",0,0,0
6314,Mohamed Amsif,M,23.0,187.0,90.0,Morocco,MAR,London,Football,Football Men's Football,0,0,0
6398,An Kum-Ae,F,32.0,160.0,52.0,North Korea,PRK,London,Judo,Judo Women's Half-Lightweight,0,1,0
