,name,sex,age,height,weight,team,noc,city,sport,event,Bronze,Gold,Silver
243250,Pavel Aleksandrovich Trenikhin,M,26.0,180.0,70.0,Russia,RUS,London,Athletics,Athletics Men's 4 x 400 metres Relay,0,0,0
243431,"Andrew ""Andy"" Triggs Hodge",M,33.0,192.0,97.0,Great Britain,GBR,London,Rowing,Rowing Men's Coxless Fours,0,1,0
243440,Khrystalleni Trikomiti,F,18.0,167.0,50.0,Cyprus,CYP,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,0,0,0
243502,Anglique Trinquier,F,21.0,175.0,65.0,Monaco,MON,London,Swimming,Swimming Women's 100 metres Backstroke,0,0,0
243551,"Nicholas ""Nick"" Tritton",M,28.0,170.0,75.0,Canada,CAN,London,Judo,Judo Men's Lightweight,0,0,0
243560,Triyaningsih,F,25.0,147.0,39.0,Indonesia,INA,London,Athletics,Athletics Women's Marathon,0,0,0
243562,Triyatno,M,24.0,161.0,77.0,Indonesia,INA,London,Weightlifting,Weightlifting Men's Lightweight,0,0,1
243580,Trine Stenbk Troelsen,F,27.0,172.0,70.0,Denmark,DEN,London,Handball,Handball Women's Handball,0,0,0
243588,Ulyana Olegovna Trofimova,F,22.0,162.0,,Uzbekistan,UZB,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,0,0,0
243604,Sophie Emma Troiano,F,25.0,174.0,64.0,Great Britain,GBR,London,Fencing,"Fencing Women's Foil, Individual",0,0,0
243605,Sophie Emma Troiano,F,25.0,174.0,64.0,Great Britain,GBR,London,Fencing,"Fencing Women's Foil, Team",0,0,0
243606,Viktor Troicki,M,26.0,190.0,86.0,Serbia,SRB,London,Tennis,Tennis Men's Singles,0,0,0
243607,Viktor Troicki,M,26.0,190.0,86.0,Serbia-2,SRB,London,Tennis,Tennis Men's Doubles,0,0,0
243623,Daniel Dawid Trojanowski,M,30.0,170.0,55.0,Poland,POL,London,Rowing,Rowing Men's Coxed Eights,0,0,0
243737,Ivan Antonovich Trotsky,M,36.0,172.0,62.0,Belarus,BLR,London,Athletics,Athletics Men's 20 kilometres Walk,0,0,0
243738,Ivan Antonovich Trotsky,M,36.0,172.0,62.0,Belarus,BLR,London,Athletics,Athletics Men's 50 kilometres Walk,0,0,0
243744,Laura Rebecca Trott (-Kenny),F,20.0,164.0,56.0,Great Britain,GBR,London,Cycling,Cycling Women's Team Pursuit,0,1,0
243745,Laura Rebecca Trott (-Kenny),F,20.0,164.0,56.0,Great Britain,GBR,London,Cycling,Cycling Women's Omnium,0,1,0
243748,Matthew Trott,M,32.0,190.0,90.0,New Zealand,NZL,London,Rowing,Rowing Men's Quadruple Sculls,0,0,0
243753,Wendy Anne Trott,F,22.0,170.0,63.0,South Africa,RSA,London,Swimming,Swimming Women's 400 metres Freestyle,0,0,0
243754,Wendy Anne Trott,F,22.0,170.0,63.0,South Africa,RSA,London,Swimming,Swimming Women's 800 metres Freestyle,0,0,0
243763,"De'Hashia Tonnek ""DeeDee"" Trotter",F,29.0,178.0,64.0,United States,USA,London,Athletics,Athletics Women's 400 metres,1,0,0
243764,"De'Hashia Tonnek ""DeeDee"" Trotter",F,29.0,178.0,64.0,United States,USA,London,Athletics,Athletics Women's 4 x 400 metres Relay,0,1,0
243783,Sarah Trowbridge,F,29.0,173.0,69.0,United States,USA,London,Rowing,Rowing Women's Double Sculls,0,0,0
243825,Rafael Joaqun Trujillo Villar,M,36.0,184.0,104.0,Spain,ESP,London,Sailing,Sailing Men's One Person Heavyweight Dinghy,0,0,0
243873,Valentina Truppa,F,26.0,160.0,55.0,Italy,ITA,London,Equestrianism,"Equestrianism Mixed Dressage, Individual",0,0,0
243902,Jrme Truyens,M,24.0,178.0,70.0,Belgium,BEL,London,Hockey,Hockey Men's Hockey,0,0,0
244019,Khristos Tsakmakis,M,24.0,173.0,70.0,Greece,GRE,London,Canoeing,"Canoeing Men's Canadian Singles, Slalom",0,0,0
244021,Likourgos-Stefanos Tsakonas,M,22.0,185.0,80.0,Greece,GRE,London,Athletics,Athletics Men's 200 metres,0,0,0
244065,Denis Igorevich Tsargush,M,24.0,177.0,74.0,Russia,RUS,London,Wrestling,"Wrestling Men's Middleweight, Freestyle",1,0,0
244073,Svetlana Kaspolatovna Tsarukayeva,F,24.0,162.0,62.0,Russia,RUS,London,Weightlifting,Weightlifting Women's Middleweight,0,0,1
244082,Louis Tsatoumas,M,30.0,187.0,76.0,Greece,GRE,London,Athletics,Athletics Men's Long Jump,0,0,0
244128,Marcel Tschopp,M,38.0,182.0,63.0,Liechtenstein,LIE,London,Athletics,Athletics Men's Marathon,0,0,0
244138,Tse Ying Suet,F,20.0,166.0,66.0,Hong Kong,HKG,London,Badminton,Badminton Women's Doubles,0,0,0
244147,Tsedevsurengiin Mnkhzaya,F,26.0,165.0,65.0,Mongolia,MGL,London,Judo,Judo Women's Half-Middleweight,0,0,0
244150,Samuel Tsegay Tesfamriam,M,24.0,176.0,59.0,Eritrea,ERI,London,Athletics,Athletics Men's Marathon,0,0,0
244169,Tseng Li-Cheng (Pei-Hua-),F,25.0,168.0,57.0,Chinese Taipei,TPE,London,Taekwondo,Taekwondo Women's Featherweight,1,0,0
244211,Maria Tsiartsiani,F,31.0,180.0,68.0,Greece,GRE,London,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,0,0,0
244213,Alexandra Tsiavou,F,26.0,178.0,61.0,Greece,GRE,London,Rowing,Rowing Women's Lightweight Double Sculls,1,0,0
244238,Giannis Tsilis,M,26.0,183.0,86.0,Greece,GRE,London,Rowing,Rowing Men's Coxless Fours,0,0,0
244263,Raul Tsirek'idze,M,25.0,172.0,85.0,Georgia,GEO,London,Weightlifting,Weightlifting Men's Light-Heavyweight,0,0,0
244268,Soslan Kerimbekovich Tsirikhov,M,27.0,195.0,125.0,Russia,RUS,London,Athletics,Athletics Men's Shot Put,0,0,0
244283,Manuchar Tskhadaia,M,27.0,165.0,66.0,Georgia,GEO,London,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",1,0,0
244299,Vasilis Tsolakidis,M,32.0,176.0,70.0,Greece,GRE,London,Gymnastics,Gymnastics Men's Parallel Bars,0,0,0
244306,Jo-Wilfried Tsonga,M,27.0,188.0,91.0,France,FRA,London,Tennis,Tennis Men's Singles,0,0,0
244307,Jo-Wilfried Tsonga,M,27.0,188.0,91.0,France-1,FRA,London,Tennis,Tennis Men's Doubles,0,0,1
244316,Olena Volodymyrivna Tsos,F,22.0,166.0,60.0,Ukraine,UKR,London,Cycling,Cycling Women's Team Sprint,0,0,0
244318,Antonis Tsotras,M,22.0,184.0,95.0,Greece,GRE,London,Sailing,Sailing Men's Two Person Keelboat,0,0,0
244342,Gustavo Tsuboi,M,27.0,170.0,65.0,Brazil,BRA,London,Table Tennis,Table Tennis Men's Singles,0,0,0
244343,Gustavo Tsuboi,M,27.0,170.0,65.0,Brazil,BRA,London,Table Tennis,Table Tennis Men's Team,0,0,0
244366,Tsui Chi Ho,M,22.0,171.0,62.0,Hong Kong,HKG,London,Athletics,Athletics Men's 4 x 100 metres Relay,0,0,0
244481,Yevgeny Nikolayevich Tsurkin,M,21.0,182.0,77.0,Belarus,BLR,London,Swimming,Swimming Men's 100 metres Freestyle,0,0,0
244491,Koko Tsurumi,F,19.0,141.0,34.0,Japan,JPN,London,Gymnastics,Gymnastics Women's Team All-Around,0,0,0
244492,Koko Tsurumi,F,19.0,141.0,34.0,Japan,JPN,London,Gymnastics,Gymnastics Women's Uneven Bars,0,0,0
244595,Tu Kai-Wen,M,21.0,169.0,66.0,Chinese Taipei,TPE,London,Judo,Judo Men's Half-Lightweight,0,0,0
244604,Patrick Tuara,M,19.0,168.0,79.0,Cook Islands,COK,London,Athletics,Athletics Men's 100 metres,0,0,0
244608,"Eduard ""Eddie"" Tubau Cutal",M,31.0,180.0,77.0,Spain,ESP,London,Hockey,Hockey Men's Hockey,0,0,0
244661,Helen Rebecca Tucker-Jenkins,F,28.0,169.0,55.0,Great Britain,GBR,London,Triathlon,Triathlon Women's Olympic Distance,0,0,0
244736,Olaf Karl Tufte,M,36.0,193.0,94.0,Norway,NOR,London,Rowing,Rowing Men's Single Sculls,0,0,0
244741,Vladimir Petrovich Tuganov,M,51.0,185.0,88.0,Russia,RUS,London,Equestrianism,"Equestrianism Mixed Jumping, Individual",0,0,0
244759,Maureen Tuimalealiifano,F,41.0,175.0,70.0,Samoa,SAM,London,Archery,Archery Women's Individual,0,0,0
244785,Blair Tuke,M,23.0,181.0,78.0,New Zealand,NZL,London,Sailing,Sailing Men's Skiff,0,0,1
244787,Ivan Yuryevich Tukhtachov,M,23.0,174.0,60.0,Russia,RUS,London,Athletics,Athletics Men's 800 metres,0,0,0
244797,Traisy Vivien Tukiet,F,18.0,148.0,50.0,Malaysia,MAS,London,Diving,Diving Women's Platform,0,0,0
244803,Gabrielle Tuleu,F,24.0,165.0,65.0,France,FRA,London,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",0,0,0
244830,Manueli Tulo,M,22.0,151.0,56.0,Fiji,FIJ,London,Weightlifting,Weightlifting Men's Bantamweight,0,0,0
244862,Alina Arturovna Tumilovich,F,22.0,178.0,56.0,Belarus,BLR,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,0,0,1
244869,Boniface Mucheru Tumuti,M,20.0,175.0,72.0,Kenya,KEN,London,Athletics,Athletics Men's 400 metres Hurdles,0,0,0
244870,Boniface Mucheru Tumuti,M,20.0,175.0,72.0,Kenya,KEN,London,Athletics,Athletics Men's 4 x 400 metres Relay,0,0,0
244880,Bediha Tunada,F,26.0,160.0,58.0,Turkey,TUR,London,Weightlifting,Weightlifting Women's Lightweight,0,0,0
244887,Esmeral Tunluer,F,32.0,175.0,65.0,Turkey,TUR,London,Basketball,Basketball Women's Basketball,0,0,0
244905,Rebecca Naomi Tunney,F,15.0,149.0,35.0,Great Britain,GBR,London,Gymnastics,Gymnastics Women's Individual All-Around,0,0,0
244906,Rebecca Naomi Tunney,F,15.0,149.0,35.0,Great Britain,GBR,London,Gymnastics,Gymnastics Women's Team All-Around,0,0,0
244907,Rebecca Naomi Tunney,F,15.0,149.0,35.0,Great Britain,GBR,London,Gymnastics,Gymnastics Women's Floor Exercise,0,0,0
244908,Rebecca Naomi Tunney,F,15.0,149.0,35.0,Great Britain,GBR,London,Gymnastics,Gymnastics Women's Uneven Bars,0,0,0
244909,Rebecca Naomi Tunney,F,15.0,149.0,35.0,Great Britain,GBR,London,Gymnastics,Gymnastics Women's Balance Beam,0,0,0
244911,Anna Tunnicliffe (-Funk),F,29.0,168.0,66.0,United States,USA,London,Sailing,Sailing Women's Three Person Keelboat,0,0,0
244982,Ibrahim Turay,M,18.0,185.0,83.0,Sierra Leone,SLE,London,Athletics,Athletics Men's 200 metres,0,0,0
245043,Emiliya Khalsberiyevna Turey,F,27.0,175.0,61.0,Russia,RUS,London,Handball,Handball Women's Handball,0,0,0
245064,Ronny Turiaf,M,29.0,208.0,111.0,France,FRA,London,Basketball,Basketball Men's Basketball,0,0,0
245117,Irak'li Turmanidze,M,27.0,182.0,130.0,Georgia,GEO,London,Weightlifting,Weightlifting Men's Super-Heavyweight,0,0,0
245138,"Andrew Steven Malcolm ""Andy"" Turner",M,31.0,183.0,77.0,Great Britain,GBR,London,Athletics,Athletics Men's 110 metres Hurdles,0,0,0
245195,Glenn Turner,M,28.0,179.0,82.0,Australia,AUS,London,Hockey,Hockey Men's Hockey,1,0,0
245198,Grant James Turner,M,23.0,193.0,86.0,Great Britain,GBR,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,0,0,0
245210,Jason Turner,M,37.0,183.0,98.0,United States,USA,London,Shooting,"Shooting Men's Air Pistol, 10 metres",0,0,0
245213,Jim Turner,M,36.0,178.0,107.0,New Zealand,NZL,London,Sailing,Sailing Men's Two Person Keelboat,0,0,0
245227,Rebecca Claire Turner,F,19.0,153.0,68.0,Great Britain,GBR,London,Swimming,Swimming Women's 200 metres Freestyle,0,0,0
245228,Rebecca Claire Turner,F,19.0,153.0,68.0,Great Britain,GBR,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,0,0,0
245229,Rebecca Claire Turner,F,19.0,153.0,68.0,Great Britain,GBR,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,0,0,0
245279,Federico Turrini,M,25.0,193.0,87.0,Italy,ITA,London,Swimming,Swimming Men's 200 metres Individual Medley,0,0,0
245280,Federico Turrini,M,25.0,193.0,87.0,Italy,ITA,London,Swimming,Swimming Men's 400 metres Individual Medley,0,0,0
245289,Dmitry Igoryevich Tursunov,M,29.0,185.0,81.0,Russia,RUS,London,Tennis,Tennis Men's Singles,0,0,0
245315,Otar Tushishvili,M,34.0,177.0,66.0,Georgia,GEO,London,Wrestling,"Wrestling Men's Welterweight, Freestyle",0,0,0
245344,Aden Tutton,M,28.0,182.0,81.0,Australia,AUS,London,Volleyball,Volleyball Men's Volleyball,0,0,0
245380,Juraj Tuinsk,M,27.0,184.0,73.0,Slovakia,SVK,London,Shooting,"Shooting Men's Air Pistol, 10 metres",0,0,0
245381,Juraj Tuinsk,M,27.0,184.0,73.0,Slovakia,SVK,London,Shooting,"Shooting Men's Free Pistol, 50 metres",0,0,0
245387,Ouzhan Tzn,M,29.0,187.0,121.0,Turkey,TUR,London,Shooting,Shooting Men's Trap,0,0,0
245397,Marharyta Tverdokhlib,F,21.0,179.0,70.0,Ukraine,UKR,London,Athletics,Athletics Women's Long Jump,0,0,0
245419,Maja Tvrdy,F,28.0,170.0,58.0,Slovenia,SLO,London,Badminton,Badminton Women's Singles,0,0,0
245457,"Elizabeth Kimberly ""Beth"" Tweddle",F,27.0,159.0,52.0,Great Britain,GBR,London,Gymnastics,Gymnastics Women's Team All-Around,0,0,0
245458,"Elizabeth Kimberly ""Beth"" Tweddle",F,27.0,159.0,52.0,Great Britain,GBR,London,Gymnastics,Gymnastics Women's Floor Exercise,0,0,0
245459,"Elizabeth Kimberly ""Beth"" Tweddle",F,27.0,159.0,52.0,Great Britain,GBR,London,Gymnastics,Gymnastics Women's Uneven Bars,1,0,0
245467,Emma Twigg,F,25.0,182.0,76.0,New Zealand,NZL,London,Rowing,Rowing Women's Single Sculls,0,0,0
245469,"Georgina Sophie ""Georgie"" Twigg",F,21.0,170.0,62.0,Great Britain,GBR,London,Hockey,Hockey Women's Hockey,1,0,0
245478,"William ""Billy"" Twomey",M,35.0,172.0,75.0,Ireland,IRL,London,Equestrianism,"Equestrianism Mixed Jumping, Individual",0,0,0
245517,Jillian Tyler,F,23.0,152.0,66.0,Canada,CAN,London,Swimming,Swimming Women's 100 metres Breaststroke,0,0,0
245531,Karolina Tymiska,F,27.0,178.0,64.0,Poland,POL,London,Athletics,Athletics Women's Heptathlon,0,0,0
245532,Ivan Ivanovych Tymko,M,32.0,198.0,98.0,Ukraine,UKR,London,Rowing,Rowing Men's Coxed Eights,0,0,0
245534,Pavlo Yuriyovych Tymoshchenko,M,25.0,192.0,78.0,Ukraine,UKR,London,Modern Pentathlon,Modern Pentathlon Men's Individual,0,0,0
245538,Nurmakhan Anarbekovich Tynaliyev,M,24.0,198.0,130.0,Kazakhstan,KAZ,London,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",0,0,0
245550,Aysuluu Tynybekova,F,19.0,170.0,58.0,Kyrgyzstan,KGZ,London,Wrestling,"Wrestling Women's Middleweight, Freestyle",0,0,0
245584,Erik Tysse,M,31.0,190.0,70.0,Norway,NOR,London,Athletics,Athletics Men's 20 kilometres Walk,0,0,0
245638,Giorgos Tziallas,M,25.0,189.0,91.0,Greece,GRE,London,Rowing,Rowing Men's Coxless Fours,0,0,0
245690,Miguel Armando Ubeto Aponte,M,35.0,168.0,70.0,Venezuela,VEN,London,Cycling,"Cycling Men's Road Race, Individual",0,0,0
245696,Davide Uccellari,M,20.0,185.0,64.0,Italy,ITA,London,Triathlon,Triathlon Men's Olympic Distance,0,0,0
245700,Morgan Uceny,F,27.0,168.0,50.0,United States,USA,London,Athletics,"Athletics Women's 1,500 metres",0,0,0
245706,Miki Uchida,F,17.0,173.0,62.0,Japan,JPN,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,0,0,0
245729,Kohei Uchimura,M,23.0,160.0,54.0,Japan,JPN,London,Gymnastics,Gymnastics Men's Individual All-Around,0,1,0
245730,Kohei Uchimura,M,23.0,160.0,54.0,Japan,JPN,London,Gymnastics,Gymnastics Men's Team All-Around,0,0,1
245731,Kohei Uchimura,M,23.0,160.0,54.0,Japan,JPN,London,Gymnastics,Gymnastics Men's Floor Exercise,0,0,1
245732,Kohei Uchimura,M,23.0,160.0,54.0,Japan,JPN,London,Gymnastics,Gymnastics Men's Parallel Bars,0,0,0
245733,Kohei Uchimura,M,23.0,160.0,54.0,Japan,JPN,London,Gymnastics,Gymnastics Men's Horizontal Bar,0,0,0
245734,Kohei Uchimura,M,23.0,160.0,54.0,Japan,JPN,London,Gymnastics,Gymnastics Men's Rings,0,0,0
245735,Kohei Uchimura,M,23.0,160.0,54.0,Japan,JPN,London,Gymnastics,Gymnastics Men's Pommelled Horse,0,0,0
245770,Gksu ta (-anl),F,21.0,159.0,48.0,Turkey,TUR,London,Gymnastics,Gymnastics Women's Balance Beam,0,0,0
245780,Jri-Mikk Udam,M,18.0,192.0,88.0,Estonia,EST,London,Rowing,Rowing Men's Double Sculls,0,0,0
245788,Filip Ude,M,26.0,170.0,68.0,Croatia,CRO,London,Gymnastics,Gymnastics Men's Pommelled Horse,0,0,0
245810,Christy Udoh,F,20.0,,,Nigeria,NGR,London,Athletics,Athletics Women's 200 metres,0,0,0
245811,Christy Udoh,F,20.0,,,Nigeria,NGR,London,Athletics,Athletics Women's 4 x 100 metres Relay,0,0,0
245819,Vanja (Franjo-) Udovii,M,29.0,193.0,94.0,Serbia,SRB,London,Water Polo,Water Polo Men's Water Polo,1,0,0
245837,Reshika Udugampola,F,18.0,160.0,54.0,Sri Lanka,SRI,London,Swimming,Swimming Women's 100 metres Freestyle,0,0,0
245843,Ai Ueda,F,28.0,155.0,44.0,Japan,JPN,London,Triathlon,Triathlon Women's Olympic Distance,0,0,0
245851,Haruka Ueda,F,24.0,177.0,68.0,Japan,JPN,London,Swimming,Swimming Women's 100 metres Freestyle,0,0,0
245852,Haruka Ueda,F,24.0,177.0,68.0,Japan,JPN,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,0,0,0
245853,Haruka Ueda,F,24.0,177.0,68.0,Japan,JPN,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,0,0,0
245854,Haruka Ueda,F,24.0,177.0,68.0,Japan,JPN,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,1,0,0
245879,Kiyoshi Uematsu Trevio,M,34.0,175.0,69.5,Spain,ESP,London,Judo,Judo Men's Lightweight,0,0,0
245907,Yoshie Ueno,F,29.0,164.0,63.0,Japan,JPN,London,Judo,Judo Women's Half-Middleweight,1,0,0
245930,Yasuhiro Ueyama,M,27.0,162.0,59.0,Japan,JPN,London,Trampolining,Trampolining Men's Individual,0,0,0
245937,Cristian Ugalde Garca,M,24.0,186.0,80.0,Spain,ESP,London,Handball,Handball Men's Handball,0,0,0
245952,Ejike Christopher Ugboaja,M,27.0,206.0,102.0,Nigeria,NGR,London,Basketball,Basketball Men's Basketball,0,0,0
245982,Lisa Uhl (Koll-),F,24.0,163.0,50.0,United States,USA,London,Athletics,"Athletics Women's 10,000 metres",0,0,0
246051,Ivan Sergeyevich Ukhov,M,26.0,192.0,67.0,Russia,RUS,London,Athletics,Athletics Men's High Jump,0,1,0
246064,Yevgeniya Nikolayevna Ukolova,F,23.0,181.0,66.0,Russia-1,RUS,London,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,0,0,0
246070,Rustam Maratovich Ukumanov,M,26.0,192.0,86.0,Kazakhstan,KAZ,London,Water Polo,Water Polo Men's Water Polo,0,0,0
246106,Steffen Uliczka,M,28.0,180.0,65.0,Germany,GER,London,Athletics,"Athletics Men's 3,000 metres Steeplechase",0,0,0
246115,Adaveeshaiah Puttaveeraswamy Gagan Ullalmath,M,20.0,,,India,IND,London,Swimming,"Swimming Men's 1,500 metres Freestyle",0,0,0
246167,Christin Ulrich,F,21.0,150.0,58.0,Germany,GER,London,Weightlifting,Weightlifting Women's Lightweight,0,0,0
246235,Gadzhi Magomedovich Umarov,M,27.0,186.0,87.0,Russia,RUS,London,Taekwondo,Taekwondo Men's Heavyweight,0,0,0
246279,Heshan Unamboowe,M,20.0,178.0,69.0,Sri Lanka,SRI,London,Swimming,Swimming Men's 100 metres Backstroke,0,0,0
246282,Maider Unda Gonzlez de Audicana,F,35.0,176.0,72.0,Spain,ESP,London,Wrestling,"Wrestling Women's Heavyweight, Freestyle",1,0,0
246292,"Quanita ""Queen"" Underwood",F,28.0,165.0,60.0,United States,USA,London,Boxing,Boxing Women's Lightweight,0,0,0
246321,Tobias Benjamin Unger,M,33.0,180.0,72.0,Germany,GER,London,Athletics,Athletics Men's 4 x 100 metres Relay,0,0,0
246324,Adrian Ungur,M,27.0,178.0,73.0,Romania,ROU,London,Tennis,Tennis Men's Singles,0,0,0
246325,Adrian Ungur,M,27.0,178.0,73.0,Romania,ROU,London,Tennis,Tennis Men's Doubles,0,0,0
246337,Mikls Ungvri,M,31.0,176.0,76.0,Hungary,HUN,London,Judo,Judo Men's Half-Lightweight,0,0,1
246346,Laura Emma Unsworth,F,24.0,157.0,55.0,Great Britain,GBR,London,Hockey,Hockey Women's Hockey,1,0,0
246422,Eric Allan Uptagrafft,M,46.0,183.0,95.0,United States,USA,London,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",0,0,0
246423,Sandra Uptagrafft (Utasy-),F,41.0,155.0,55.0,United States,USA,London,Shooting,"Shooting Women's Air Pistol, 10 metres",0,0,0
246424,Sandra Uptagrafft (Utasy-),F,41.0,155.0,55.0,United States,USA,London,Shooting,"Shooting Women's Sporting Pistol, 25 metres",0,0,0
246432,Kazushige Ura,M,36.0,180.0,73.0,Japan,JPN,London,Rowing,Rowing Men's Lightweight Double Sculls,0,0,0
246456,Rigoberto Urn Urn,M,25.0,171.0,53.0,Colombia,COL,London,Cycling,"Cycling Men's Road Race, Individual",0,0,1
246460,Uranchimegiin Mnkh-Erdene,M,30.0,174.0,64.0,Mongolia,MGL,London,Boxing,Boxing Men's Light-Welterweight,1,0,0
246520,Robert Urbanek,M,25.0,200.0,122.0,Poland,POL,London,Athletics,Athletics Men's Discus Throw,0,0,0
246619,Nicols Uriarte,M,22.0,192.0,82.0,Argentina,ARG,London,Volleyball,Volleyball Men's Volleyball,0,0,0
246620,Sugoi Uriarte Marcos,M,28.0,172.0,66.0,Spain,ESP,London,Judo,Judo Men's Half-Lightweight,0,0,0
246638,Anzor Suadinovich Urishev,M,25.0,177.0,84.0,Russia,RUS,London,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",0,0,0
246662,Jonathan Matas Urretaviscaya da Luz,M,22.0,173.0,64.0,Uruguay,URU,London,Football,Football Men's Football,0,0,0
246680,Mris Urtns,M,31.0,187.0,123.0,Latvia,LAT,London,Athletics,Athletics Men's Shot Put,0,0,0
246682,Jade Uru,M,24.0,189.0,88.0,New Zealand,NZL,London,Rowing,Rowing Men's Coxless Fours,0,0,0
246685,Storm Uru,M,27.0,190.0,70.0,New Zealand,NZL,London,Rowing,Rowing Men's Lightweight Double Sculls,1,0,0
246699,Annika Urvikko,F,21.0,157.0,57.0,Finland,FIN,London,Gymnastics,Gymnastics Women's Individual All-Around,0,0,0
246700,Annika Urvikko,F,21.0,157.0,57.0,Finland,FIN,London,Gymnastics,Gymnastics Women's Floor Exercise,0,0,0
246701,Annika Urvikko,F,21.0,157.0,57.0,Finland,FIN,London,Gymnastics,Gymnastics Women's Uneven Bars,0,0,0
246702,Annika Urvikko,F,21.0,157.0,57.0,Finland,FIN,London,Gymnastics,Gymnastics Women's Balance Beam,0,0,0
246730,Abdelrahman Usama Tawfiq Ahmed,M,23.0,176.0,80.0,Egypt,EGY,London,Taekwondo,Taekwondo Men's Welterweight,0,0,0
246736,Takashi Usami,M,20.0,178.0,68.0,Japan,JPN,London,Football,Football Men's Football,0,0,0
246758,Dmitry Arkadyevich Ushakov,M,23.0,177.0,64.0,Russia,RUS,London,Trampolining,Trampolining Men's Individual,0,0,1
246767,Vladimir Petrovich Ushakov,M,30.0,195.0,94.0,Kazakhstan,KAZ,London,Water Polo,Water Polo Men's Water Polo,0,0,0
246777,Keisuke Ushiro,M,26.0,196.0,95.0,Japan,JPN,London,Athletics,Athletics Men's Decathlon,0,0,0
246803,Oleksandr Oleksandrovych Usik,M,25.0,191.0,91.0,Ukraine,UKR,London,Boxing,Boxing Men's Heavyweight,0,1,0
246809,Binnaz Uslu,F,27.0,160.0,55.0,Turkey,TUR,London,Athletics,"Athletics Women's 3,000 metres Steeplechase",0,0,0
246811,Polen Uslupehlivan,F,21.0,193.0,65.0,Turkey,TUR,London,Volleyball,Volleyball Women's Volleyball,0,0,0
246813,Mariam Usman,F,21.0,166.0,112.0,Nigeria,NGR,London,Weightlifting,Weightlifting Women's Super-Heavyweight,0,0,0
246818,Mara Catalina Usme Pineda,F,22.0,163.0,65.0,Colombia,COL,London,Football,Football Women's Football,0,0,0
246829,Ilona Viktorovna Usovich,F,29.0,170.0,60.0,Belarus,BLR,London,Athletics,Athletics Women's 4 x 400 metres Relay,0,0,0
246834,Svetlana Viktorovna Usovich,F,31.0,164.0,55.0,Belarus,BLR,London,Athletics,Athletics Women's 400 metres,0,0,0
246835,Svetlana Viktorovna Usovich,F,31.0,164.0,55.0,Belarus,BLR,London,Athletics,Athletics Women's 4 x 400 metres Relay,0,0,0
246911,Joshua Utanga,M,24.0,165.0,89.0,Cook Islands,COK,London,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",0,0,0
246912,Joshua Utanga,M,24.0,165.0,89.0,Cook Islands,COK,London,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",0,0,0
246916,Almas Dauletyarovich Uteshov,M,24.0,175.0,94.0,Kazakhstan,KAZ,London,Weightlifting,Weightlifting Men's Middle-Heavyweight,0,0,0
246917,"Sannuvanda Kushalappa ""S. K."" Uthappa",M,18.0,183.0,84.0,India,IND,London,Hockey,Hockey Men's Hockey,0,0,0
246934,Jussi Pekka Utriainen,M,33.0,175.0,57.0,Finland,FIN,London,Athletics,Athletics Men's Marathon,0,0,0
246935,Sanni Marja Anniina Utriainen,F,21.0,169.0,72.0,Finland,FIN,London,Athletics,Athletics Women's Javelin Throw,0,0,0
246978,Bruno Uvini Bortolana,M,21.0,190.0,85.0,Brazil,BRA,London,Football,Football Men's Football,0,0,1
246983,Elsie Uwamahoro,F,23.0,165.0,56.0,Burundi,BDI,London,Swimming,Swimming Women's 50 metres Freestyle,0,0,0
246985,Fred Yannick Uwase,M,18.0,186.0,73.0,Rwanda,RWA,London,Judo,Judo Men's Lightweight,0,0,0
247078,Iveta Vacenovsk,F,26.0,168.0,58.0,Czech Republic,CZE,London,Table Tennis,Table Tennis Women's Singles,0,0,0
247122,Kristina Vaculik,F,20.0,149.0,39.0,Canada,CAN,London,Gymnastics,Gymnastics Women's Individual All-Around,0,0,0
247123,Kristina Vaculik,F,20.0,149.0,39.0,Canada,CAN,London,Gymnastics,Gymnastics Women's Team All-Around,0,0,0
247124,Kristina Vaculik,F,20.0,149.0,39.0,Canada,CAN,London,Gymnastics,Gymnastics Women's Floor Exercise,0,0,0
247125,Kristina Vaculik,F,20.0,149.0,39.0,Canada,CAN,London,Gymnastics,Gymnastics Women's Horse Vault,0,0,0
